response_id;birth_year;gender;seniority;industry;household;metro_regional;remote_frequency;remote_preference;collaboration_easy;promotion_reduced;regular_breaks;remote_employer_advantages;remote_with_paycut;barrier_caring_responsibility;barrier_connectivity;barrier_systems_software;barrier_collaboration_remotely;barrier_poor_management;barrier_equipment;barrier_isolation;barrier_costs;barrier_cyber_security;barrier_non_remote_tasks;barrier_workspace;barrier_motivation;barrier_management;barrier_living_situation;barrier_skills;barrier_health_safety;biggest_barrier_hybrid;smallest_barrier_hybrid;remote_feel_better;remote_more_active;colleagues_in_person;productivity
50;1983;Male;Between 1 and 5 years;Financial and Insurance;Couple with dependent children;Metro;80%;80%;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat Positive;No;Somewhat improved;Stayed about the same;Somewhat improved;Significantly improved;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Significantly improved;Significantly improved;Stayed about the same;Somewhat improved;Stayed about the same;Somewhat improved;Stayed about the same;Interruptions;Difficulty collaborating with remote colleagues;Somewhat agree;Somewhat agree;Neither agree nor disagree;I知 30% more productive when working remotely
51;1971;Male;Between 1 and 5 years;Retail Trade;Couple with dependent children;Metro;40%;30%;Somewhat agree;Neither agree nor disagree;Somewhat disagree;Neither positive nor negative;No;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Somewhat worsened;Somewhat improved;Stayed about the same;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat improved;Somewhat worsened;Somewhat improved;Stayed about the same;Stayed about the same;Interruptions;Difficulty collaborating with remote colleagues;Neither agree nor disagree;Somewhat agree;Somewhat disagree;I知 50% more productive when working remotely (or more)
52;1980;Male;More than 5 years;Information Media and Telecommunications;Couple with dependent children;Metro;50% - I spent about half of my time remote working;50% - About half of my time;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither positive nor negative;No;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;NA;NA;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;My productivity is about same when I work remotely
53;1981;Male;More than 5 years;Financial and Insurance;Couple with dependent children;Metro;70%;80%;Neither agree nor disagree;Somewhat disagree;Somewhat agree;Somewhat Positive;No;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Interruptions;Difficulty collaborating with remote colleagues;Strongly agree;Strongly agree;Neither agree nor disagree;I知 50% more productive when working remotely (or more)
54;1977;Female;More than 5 years;Arts and Recreation;Couple with dependent children;Regional;100% - I spent all of my time remote working;100% - All of my time;Strongly agree;Strongly disagree;Strongly agree;Strongly Positive;Yes;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Stayed about the same;Not a barrier for me;Stayed about the same;Not a barrier for me;Not a barrier for me;Not a barrier for me;Stayed about the same;Not a barrier for me;Stayed about the same;Not a barrier for me;Not a barrier for me;NA;NA;Strongly agree;Somewhat agree;Neither agree nor disagree;I知 50% more productive when working remotely (or more)
55;1981;Male;More than 5 years;Information Media and Telecommunications;Couple with dependent children;Metro;10%;20%;Strongly agree;Somewhat agree;Strongly agree;Strongly Positive;Yes;Significantly improved;Somewhat improved;Stayed about the same;Somewhat improved;Significantly improved;Somewhat improved;Stayed about the same;Somewhat improved;Significantly improved;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat improved;NA;NA;Somewhat agree;Strongly agree;Strongly agree;I知 30% more productive when working remotely
56;1962;Male;More than 5 years;Information Media and Telecommunications;Couple with no dependent children;Metro;90%;70%;Strongly agree;Somewhat disagree;Somewhat disagree;Somewhat Positive;No;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;NA;NA;Neither agree nor disagree;Somewhat agree;Neither agree nor disagree;My productivity is about same when I work remotely
57;1978;Male;More than 5 years;Information Media and Telecommunications;Couple with dependent children;Metro;80%;40%;Strongly agree;Strongly agree;Somewhat agree;Strongly Positive;Yes;Significantly improved;Significantly improved;Significantly improved;Somewhat improved;Somewhat improved;Significantly improved;Significantly improved;Somewhat improved;Significantly improved;Somewhat improved;Significantly improved;Somewhat improved;Significantly improved;Significantly improved;Somewhat improved;Significantly improved;Interruptions;Noisy work environment;Strongly agree;Somewhat agree;Strongly agree;I知 50% more productive when working remotely (or more)
58;1980;Female;Between 1 and 5 years;Retail Trade;One parent family with dependent children;Metro;50% - I spent about half of my time remote working;60%;Somewhat agree;Strongly disagree;Somewhat agree;Somewhat Positive;No;Somewhat improved;Significantly improved;Somewhat improved;Not a barrier for me;Significantly worsened;Somewhat worsened;Significantly worsened;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Somewhat improved;Significantly improved;Somewhat worsened;Significantly improved;Difficulty collaborating with remote colleagues;Interruptions;Neither agree nor disagree;Strongly agree;Somewhat agree;I知 30% more productive when working remotely
59;1987;Male;Between 6 and 12 months;Retail Trade;Multiple family household;Metro;30%;60%;Somewhat agree;Somewhat disagree;Somewhat disagree;Somewhat Negative;No;Significantly improved;Significantly worsened;Stayed about the same;Somewhat worsened;Significantly worsened;Stayed about the same;Somewhat worsened;Significantly worsened;Somewhat worsened;Significantly worsened;Somewhat improved;Stayed about the same;Significantly worsened;Somewhat worsened;Significantly worsened;Somewhat worsened;NA;NA;Somewhat disagree;Neither agree nor disagree;Somewhat agree;I知 20% more productive when working remotely
60;1972;Male;More than 5 years;Information Media and Telecommunications;Couple with dependent children;Metro;80%;80%;Somewhat agree;Somewhat disagree;Neither agree nor disagree;Somewhat Positive;No;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Somewhat worsened;NA;NA;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;My productivity is about same when I work remotely
61;1985;Male;More than 5 years;Administrative and Support;Couple with dependent children;Metro;20%;20%;Somewhat agree;Strongly disagree;Neither agree nor disagree;Strongly Positive;No;Somewhat improved;Somewhat improved;Significantly improved;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Significantly worsened;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Difficulty collaborating with remote colleagues;Noisy work environment;Strongly agree;Strongly agree;Somewhat agree;I知 50% more productive when working remotely (or more)
62;1964;Male;Between 1 and 5 years;Other Services;Couple with dependent children;Metro;50% - I spent about half of my time remote working;50% - About half of my time;Strongly agree;Somewhat disagree;Somewhat agree;Neither positive nor negative;No;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Somewhat improved;Stayed about the same;Somewhat improved;Somewhat worsened;Difficulty collaborating with remote colleagues;Noisy work environment;Neither agree nor disagree;Somewhat disagree;Strongly agree;My productivity is about same when I work remotely
63;1961;Female;More than 5 years;Retail Trade;Couple with no dependent children;Regional;100% - I spent all of my time remote working;100% - All of my time;Strongly agree;Strongly disagree;Neither agree nor disagree;Strongly Positive;Yes;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;NA;NA;Strongly agree;Strongly agree;Neither agree nor disagree;My productivity is about same when I work remotely
64;1963;Male;Between 1 and 5 years;Professional, Scientific and Technical;Couple with no dependent children;Metro;Rarely or never;I would not have preferred to work remotely;Somewhat disagree;Neither agree nor disagree;Somewhat agree;Strongly Positive;No;Stayed about the same;Somewhat worsened;Stayed about the same;Somewhat worsened;Stayed about the same;Somewhat worsened;Stayed about the same;Somewhat worsened;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Somewhat worsened;Somewhat worsened;Difficulty collaborating with remote colleagues;Lack of privacy;Strongly disagree;Strongly disagree;Somewhat agree;I知 50% less productive when working remotely (or worse)
65;1992;Male;Between 1 and 5 years;Financial and Insurance;Single person;Metro;90%;80%;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Neither positive nor negative;No;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Stayed about the same;Somewhat improved;Somewhat worsened;Somewhat improved;Somewhat worsened;Somewhat worsened;Somewhat worsened;Somewhat improved;Stayed about the same;Somewhat improved;Stayed about the same;Somewhat worsened;Difficulty collaborating with remote colleagues;Lack of privacy;Neither agree nor disagree;Somewhat agree;Somewhat agree;My productivity is about same when I work remotely
66;1981;Male;Between 1 and 5 years;Professional, Scientific and Technical;Group household;Metro;40%;60%;Somewhat disagree;Somewhat agree;Somewhat disagree;Somewhat Positive;Yes;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Somewhat worsened;Somewhat improved;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Somewhat improved;Somewhat improved;Difficulty collaborating with remote colleagues;Lack of privacy;Somewhat agree;Somewhat disagree;Somewhat agree;I知 20% less productive when working remotely
